id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
MONDO:0005180	biolink:Disease
NCBITaxon:544580	biolink:OrganismTaxon
NCBITaxon:1689	biolink:OrganismTaxon
NCBITaxon:1309	biolink:OrganismTaxon
NCBITaxon:1535	biolink:OrganismTaxon
NCBITaxon:1550024	biolink:OrganismTaxon
NCBITaxon:418240	biolink:OrganismTaxon
NCBITaxon:1520815	biolink:OrganismTaxon
NCBITaxon:33945	biolink:OrganismTaxon
NCBITaxon:166486	biolink:OrganismTaxon
NCBITaxon:1432052	biolink:OrganismTaxon
NCBITaxon:100884	biolink:OrganismTaxon
NCBITaxon:154288	biolink:OrganismTaxon
NCBITaxon:46228	biolink:OrganismTaxon
NCBITaxon:1624	biolink:OrganismTaxon
NCBITaxon:1262792	biolink:OrganismTaxon
NCBITaxon:1232426	biolink:OrganismTaxon
NCBITaxon:230143	biolink:OrganismTaxon
NCBITaxon:113107	biolink:OrganismTaxon
NCBITaxon:649756	biolink:OrganismTaxon
NCBITaxon:712124	biolink:OrganismTaxon
NCBITaxon:1613	biolink:OrganismTaxon
NCBITaxon:40519	biolink:OrganismTaxon
NCBITaxon:154046	biolink:OrganismTaxon
NCBITaxon:1150298	biolink:OrganismTaxon
NCBITaxon:28123	biolink:OrganismTaxon
NCBITaxon:1203556	biolink:OrganismTaxon
NCBITaxon:2107999	biolink:OrganismTaxon
NCBITaxon:853	biolink:OrganismTaxon
NCBITaxon:1776081	biolink:OrganismTaxon
NCBITaxon:562	biolink:OrganismTaxon
NCBITaxon:508460	biolink:OrganismTaxon
NCBITaxon:626932	biolink:OrganismTaxon
NCBITaxon:2173	biolink:OrganismTaxon
NCBITaxon:1262889	biolink:OrganismTaxon
NCBITaxon:1965555	biolink:OrganismTaxon
NCBITaxon:47715	biolink:OrganismTaxon
NCBITaxon:39491	biolink:OrganismTaxon
NCBITaxon:1736	biolink:OrganismTaxon
NCBITaxon:671232	biolink:OrganismTaxon
NCBITaxon:187327	biolink:OrganismTaxon
NCBITaxon:78448	biolink:OrganismTaxon
NCBITaxon:1596	biolink:OrganismTaxon
NCBITaxon:78344	biolink:OrganismTaxon
NCBITaxon:1322	biolink:OrganismTaxon
NCBITaxon:1603888	biolink:OrganismTaxon
NCBITaxon:573	biolink:OrganismTaxon
NCBITaxon:1655	biolink:OrganismTaxon
NCBITaxon:78257	biolink:OrganismTaxon
NCBITaxon:28037	biolink:OrganismTaxon
NCBITaxon:89153	biolink:OrganismTaxon
NCBITaxon:1343	biolink:OrganismTaxon
NCBITaxon:1522	biolink:OrganismTaxon
NCBITaxon:Actinomyces sp. ICM47	biolink:OrganismTaxon
NCBITaxon:1681	biolink:OrganismTaxon
NCBITaxon:218538	biolink:OrganismTaxon
NCBITaxon:301302	biolink:OrganismTaxon
NCBITaxon:1406512	biolink:OrganismTaxon
NCBITaxon:3062497	biolink:OrganismTaxon
NCBITaxon:165179	biolink:OrganismTaxon
NCBITaxon:53442	biolink:OrganismTaxon
NCBITaxon:626937	biolink:OrganismTaxon
NCBITaxon:1463165	biolink:OrganismTaxon
NCBITaxon:216816	biolink:OrganismTaxon
NCBITaxon:1472761	biolink:OrganismTaxon
NCBITaxon:1352	biolink:OrganismTaxon
NCBITaxon:1965576	biolink:OrganismTaxon
NCBITaxon:360807	biolink:OrganismTaxon
NCBITaxon:43675	biolink:OrganismTaxon
NCBITaxon:823	biolink:OrganismTaxon
NCBITaxon:1598	biolink:OrganismTaxon
NCBITaxon:501571	biolink:OrganismTaxon
NCBITaxon:214856	biolink:OrganismTaxon
NCBITaxon:270498	biolink:OrganismTaxon
NCBITaxon:1849041	biolink:OrganismTaxon
NCBITaxon:1263044	biolink:OrganismTaxon
NCBITaxon:39490	biolink:OrganismTaxon
NCBITaxon:1685	biolink:OrganismTaxon
NCBITaxon:150055	biolink:OrganismTaxon
NCBITaxon:1759399	biolink:OrganismTaxon
