samn_id	ncbitaxon_id
SAMN00103324	658080
SAMN00117502	756499
SAMN00118169	872024
SAMN00139461	871963
SAMN01112396	1221522
SAMN01779548	883100
SAMN01779549	883101
SAMN02146680	1324332
SAMN02194330	1268341
SAMN02194331	1268318
SAMN02194552	1163419
SAMN02194920	1268314
SAMN02199341	1215114
SAMN02221896	1299319
SAMN02232012	871963
SAMN02256454	1090321
SAMN02261278	146907
SAMN02444486	1432060
SAMN02444487	1432059
SAMN02444489	1432061
SAMN02691824	61435
SAMN02743368	1449044
SAMN02745215	1121395
SAMN02745947	903528
SAMN02799637	1502763
SAMN02799638	29320
SAMN02821848	543736
SAMN03068682	1076
SAMN03159417	1566294
SAMN03434235	1581128
SAMN03434394	1581143
SAMN03649439	1653038
SAMN03649441	1653039
SAMN03649442	1653040
SAMN03649445	1653041
SAMN03649448	1653042
SAMN03649449	1653043
SAMN03649457	1653034
SAMN03649459	1653035
SAMN03649464	1653036
SAMN03649466	1653037
SAMN03992201	360922
SAMN03992215	360921
SAMN04198240	1743140
SAMN04215161	1743141
SAMN04216968	1745378
SAMN04487802	993071
SAMN04487805	1761786
SAMN04487912	1761744
SAMN04487913	1761745
SAMN04487914	1761746
SAMN04487915	1761747
SAMN04487916	1761748
SAMN04487917	1761750
SAMN04488501	36844
SAMN04488595	1761899
SAMN04692014	1834101
SAMN04696137	1834085
SAMN04696146	1834090
SAMN04696147	1834091
SAMN04696149	1834093
SAMN05444745	1882768
SAMN05660473	1279029
SAMN05660916	29320
SAMN05712594	1897056
SAMN06266918	391303
SAMN06272721	1938741
SAMN06295950	1938888
SAMN06318587	1955698
SAMN06457550	1953315
SAMN06457640	1946578
SAMN07501391	2012695
SAMN07581355	1848594
SAMN07581356	1848595
SAMN07581357	1848596
SAMN07581358	1848597
SAMN07581360	1848598
SAMN07581361	1848599
SAMN07581362	1848600
SAMN07581363	1848601
SAMN07581364	1848602
SAMN07581365	1848603
SAMN07581383	1848604
SAMN08163059	1688693
SAMN08164553	1688671
SAMN08775685	2135499
SAMN09081297	2183924
SAMN09083203	2183908
SAMN09083215	2183880
SAMN09083438	2183899
SAMN09756995	2292263
SAMN10361600	2485108
SAMN10436423	2487355
SAMN10590629	52689
SAMN10590631	52693
SAMN10790209	2508995
SAMN10829709	2509720
SAMN10829712	2509721
SAMN11253329	2560052
SAMN11360922	211586
SAMN11512945	258594
SAMN11513128	1196325
SAMN11528541	2572909
SAMN11620941	2578107
SAMN12321786	103816
SAMN12335612	128780
SAMN12335635	2598189
SAMN12872866	2651199
SAMN13323988	2675750
SAMN13326465	2676309
SAMN13622248	157782
SAMN13716648	396712
SAMN13826469	2698204
SAMN13939497	319
SAMN13973595	2705548
SAMN13973596	2705547
SAMN14345108	2716689
SAMN14421279	2719791
SAMN14421443	2719795
SAMN14445367	2720667
SAMN14860522	2735314
SAMN14860538	2735318
SAMN14915971	2735881
SAMN14989797	2738447
SAMN15097894	1546536
SAMN15150008	2742602
SAMN15196490	360920
SAMN16231214	2774874
SAMN16982851	2666183
SAMN16982852	191390
SAMN18042977	2814653
SAMN19250171	3093767
SAMN19651323	80866
SAMN23480236	1038922
SAMN25653560	2916159
SAMN26237318	2920941
SAMN31373663	2987701
SAMN31601428	2993508
SAMN31956130	47880
SAMN32209612	3122582
SAMN32247436	57706
SAMN33051837	3025681
SAMN33268523	3027930
SAMN33268549	3032303
SAMN33774311	3035153
